"Maker","Prod","ID","Desc","Color","Discon"
"Anchor","Emb","8","Salmon - LT","f8a597","0"
"Anchor","Emb","297","Jonquil - MED","fcd01d","0"
"Anchor","Emb","1086",,"5c4636","0"
"Anchor","Emb","55","Beauty Rose - LT","f279a3","0"
"Anchor","Emb","43","Carmine Rose - MED DK","7d1428","0"
"Anchor","Emb","308","Topaz - MED DK","bd6e1a","0"
"Anchor","Emb","337","Terra Cotta - MED LT","e28b6e","0"
"Anchor","Emb","382","Fudge - DK","361c11","0"
"Anchor","Emb","1004","Apricot - VY DK","a53d14","0"
"Anchor","Emb","340","Terra Cotta - MED DK","9d3022","0"
"Anchor","Emb","63","Magenta - DK","e12068","0"
"Anchor","Emb","276","Pearl","efd9bb","0"
"Anchor","Emb","59","China Rose","a80646","0"
"Anchor","Emb","1013","Brick - MED","c6705e","0"
"Anchor","Emb","62","Magenta - MED","eb5d8a","0"
"Anchor","Emb","304","Citrus - DK","f77b0d","0"
"Anchor","Emb","44","Carmine Rose - DK","610021","0"
"Anchor","Emb","803","Citrus","cf6100","0"
"Anchor","Emb","35","Blush - DK","ea3138","0"
"Anchor","Emb","49","China Rose - LT","ecb5bd","0"
"Anchor","Emb","375","Desert - DK","885a23","0"
"Anchor","Emb","54","China Rose - DK","e02862","0"
"Anchor","Emb","52","China Rose - MED DK","f46293","0"
"Anchor","Emb","101","Violet - DK","5a005c","0"
"Anchor","Emb","678","Terra Cotta","845950","0"
"Anchor","Emb","1080",,"c8a689","0"
"Anchor","Emb","676","Terra Cotta","b29a97","0"
"Anchor","Emb","1012","Chicory - LT","f5c0a6","0"
"Anchor","Emb","68","Raspberry - MED LT","c24f77","0"
"Anchor","Emb","1017","Antique","be7b8e","0"
"Anchor","Emb","306","Topaz - MED LT","eda231","0"
"Anchor","Emb","349","Bark - MED","aa551b","0"
"Anchor","Emb","359","Coffee - MED","682d12","0"
"Anchor","Emb","779","Blue Mist - MED DK","4d787b","0"
"Anchor","Emb","799","Cherry Red","9d0000","0"
"Anchor","Emb","923","Emerald - VY DK","005d30","0"
"Anchor","Emb","51","Nelke Dunkel","ffa4c2","1"
"Anchor","Emb","3324","Orange Spice","fa6a19","1"
"Anchor","Emb","681","Forest - DK","555733","0"
"Anchor","Emb","354","Earth","8b604c","1"
"Anchor","Emb","683","Turf Green","1f433a","0"
